county_fips,county_name,state,dma_code,dma_name
29043,Christian,MO,619,"SPRINGFIELD, MO"
29045,Clark,MO,717,QUINCY-HANNIBAL-KEOKUK
29047,Clay,MO,616,KANSAS CITY
29049,Clinton,MO,616,KANSAS CITY
29051,Cole,MO,604,COLUMBIA-JEFFERSON CITY
29053,Cooper,MO,604,COLUMBIA-JEFFERSON CITY
29055,Crawford,MO,609,SAINT LOUIS
29057,Dade,MO,619,"SPRINGFIELD, MO"
29059,Dallas,MO,619,"SPRINGFIELD, MO"
29061,Daviess,MO,616,KANSAS CITY
29063,Dekalb,MO,638,SAINT JOSEPH
29065,Dent,MO,619,"SPRINGFIELD, MO"
29067,Douglas,MO,619,"SPRINGFIELD, MO"
29069,Dunklin,MO,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
29071,Franklin,MO,609,SAINT LOUIS
29073,Gasconade,MO,609,SAINT LOUIS
29075,Gentry,MO,616,KANSAS CITY
29077,Greene,MO,619,"SPRINGFIELD, MO"
29079,Grundy,MO,616,KANSAS CITY
29081,Harrison,MO,616,KANSAS CITY
29083,Henry,MO,616,KANSAS CITY
29085,Hickory,MO,619,"SPRINGFIELD, MO"
29087,Holt,MO,616,KANSAS CITY
29089,Howard,MO,604,COLUMBIA-JEFFERSON CITY
29091,Howell,MO,619,"SPRINGFIELD, MO"
29093,Iron,MO,609,SAINT LOUIS
29095,Jackson,MO,616,KANSAS CITY
29097,Jasper,MO,603,JOPLIN-PITTSBURG
29099,Jefferson,MO,609,SAINT LOUIS
29101,Johnson,MO,616,KANSAS CITY
29103,Knox,MO,717,QUINCY-HANNIBAL-KEOKUK
29105,Laclede,MO,619,"SPRINGFIELD, MO"
29107,Lafayette,MO,616,KANSAS CITY
29109,Lawrence,MO,619,"SPRINGFIELD, MO"
29111,Lewis,MO,717,QUINCY-HANNIBAL-KEOKUK
29113,Lincoln,MO,609,SAINT LOUIS
29115,Linn,MO,616,KANSAS CITY
29117,Livingston,MO,616,KANSAS CITY
29119,McDonald,MO,603,JOPLIN-PITTSBURG
29121,Macon,MO,631,OTTUMWA-KIRKSVILLE
29123,Madison,MO,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
29125,Maries,MO,604,COLUMBIA-JEFFERSON CITY
29127,Marion,MO,717,QUINCY-HANNIBAL-KEOKUK
29129,Mercer,MO,616,KANSAS CITY
29131,Miller,MO,604,COLUMBIA-JEFFERSON CITY
